X,Y,id,left,top,right,bottom,sent_compound_count,sent_compound_mean
1373332.6895177,5689932.84198866,203,1373307.6895177,5689957.84198866,1373357.6895177,5689907.84198866,,0.0
1373332.6895177,5689882.84198866,204,1373307.6895177,5689907.84198866,1373357.6895177,5689857.84198866,,0.0
1373332.6895177,5689832.84198866,205,1373307.6895177,5689857.84198866,1373357.6895177,5689807.84198866,,0.0
1373332.6895177,5689782.84198866,206,1373307.6895177,5689807.84198866,1373357.6895177,5689757.84198866,,0.0
1373332.6895177,5689732.84198866,207,1373307.6895177,5689757.84198866,1373357.6895177,5689707.84198866,,0.0
1373332.6895177,5689682.84198866,208,1373307.6895177,5689707.84198866,1373357.6895177,5689657.84198866,,0.0
1373332.6895177,5689632.84198866,209,1373307.6895177,5689657.84198866,1373357.6895177,5689607.84198866,,0.0
1373332.6895177,5689582.84198866,210,1373307.6895177,5689607.84198866,1373357.6895177,5689557.84198866,,0.0
1373332.6895177,5689532.84198866,211,1373307.6895177,5689557.84198866,1373357.6895177,5689507.84198866,,0.0
1373332.6895177,5689482.84198866,212,1373307.6895177,5689507.84198866,1373357.6895177,5689457.84198866,,0.0
1373332.6895177,5689432.84198866,213,1373307.6895177,5689457.84198866,1373357.6895177,5689407.84198866,,0.0
1373332.6895177,5689382.84198866,214,1373307.6895177,5689407.84198866,1373357.6895177,5689357.84198866,,0.0
1373332.6895177,5689332.84198866,215,1373307.6895177,5689357.84198866,1373357.6895177,5689307.84198866,,0.0
1373332.6895177,5689282.84198866,216,1373307.6895177,5689307.84198866,1373357.6895177,5689257.84198866,,0.0
1373332.6895177,5689232.84198866,217,1373307.6895177,5689257.84198866,1373357.6895177,5689207.84198866,,0.0
1373332.6895177,5689182.84198866,218,1373307.6895177,5689207.84198866,1373357.6895177,5689157.84198866,,0.0
1373332.6895177,5689132.84198866,219,1373307.6895177,5689157.84198866,1373357.6895177,5689107.84198866,,0.0
1373332.6895177,5689082.84198866,220,1373307.6895177,5689107.84198866,1373357.6895177,5689057.84198866,,0.0
1373332.6895177,5689032.84198866,221,1373307.6895177,5689057.84198866,1373357.6895177,5689007.84198866,,0.0
