place_id,place_title,gps,rating,date,title,name,review,images,likes,local_guide
ChIJDesd3M2xfkcRWqRX61Ty6-U,Farmacia Dr. Max,"{'latitude': 45.4316538, 'longitude': 12.327789399999999}",2.0,7 months ago,,Diego Bernardini,"Es hat alles, ausser Freundlichkeit des Personals. Das kann man zwar verstehen, dass irgendwann die Masse des Tourismus an der Freundlichkeit nagt. Aber dann hat man vielleicht auch einfach den falschen Job in einer der schönsten Städte der Welt. Aber wenn man etwas als eine Apotheke braucht, ist das eine Adresse.",,,True
ChIJDesd3M2xfkcRWqRX61Ty6-U,Farmacia Dr. Max,"{'latitude': 45.4316538, 'longitude': 12.327789399999999}",5.0,a year ago,,Gabriella Amadio,Super gentili e competenti. Non ti vogliono vendere il superfluo o l'inutile solo per guadagnare ma ti ascoltano e ti sanno aiutare anche nelle piccole domande quotidiane.,,,True
ChIJDesd3M2xfkcRWqRX61Ty6-U,Farmacia Dr. Max,"{'latitude': 45.4316538, 'longitude': 12.327789399999999}",5.0,a year ago,,mini park,급하게 렌즈 세척액 보존액이 필요해서 갔었어요. 약사님이 영어로 친절하게 설명해주셔서 빠르게 구매 가능했습니다.,,,True
ChIJDesd3M2xfkcRWqRX61Ty6-U,Farmacia Dr. Max,"{'latitude': 45.4316538, 'longitude': 12.327789399999999}",5.0,6 years ago,,Ralf Reinstädtler,Fachkundiges Personal gute Beratung und große Auswahl.,['https://lh3.googleusercontent.com/geougc-cs/AMBA38u5abxWu7tGXDYUoxEFO8G656yf--UU32V_tfx5_y62JP48Q7lME2OmF6bfNhs-Omi68tGDPIx0KdlATFm1Q9C-XljzR0XNlywCpjrnti_hAeHnpzxmxA8NMIk0I60uVc28Gkmmsg'],,True
ChIJ6XOD1NCxfkcRmZlJCYnnkUY,Lafarmacia.Internazionale San Gaetano,"{'latitude': 45.4330539, 'longitude': 12.335040699999999}",5.0,2 months ago,,Gary Blum,They were great got stuck in Italy and they went out of the way to fill all my perceptions before I ran out and they spoke English which helped a lot!!!!,,,True
ChIJ6XOD1NCxfkcRmZlJCYnnkUY,Lafarmacia.Internazionale San Gaetano,"{'latitude': 45.4330539, 'longitude': 12.335040699999999}",5.0,a year ago,,John Cetra,There is no question that this particular pharmacy may have higher prices. Just look at who their neighbors are? My son was not feeling well- developing symptoms of a cold. We went in and the  staff recommended a couple of remedies which we purchased and it helped my son’s symptoms tremendously. So I say Grazie!! For less expensive pharmacies you can keep walking farther away from Sam Marco.,,,True
ChIJ6XOD1NCxfkcRmZlJCYnnkUY,Lafarmacia.Internazionale San Gaetano,"{'latitude': 45.4330539, 'longitude': 12.335040699999999}",1.0,a year ago,,Leo Kwon,"Unfortunately, I didn't see this comment, so I suffered as well. I bought it expensively and asked for a refund in 3 minutes, but it was rejected. This is truly the worst pharmacy in Italy",['https://lh3.googleusercontent.com/geougc-cs/AMBA38sEKoIo7DjSB1e5npSfjrkU-mpCnlTI_U5KVEkbBFwL3vFD6wfNHP3Al6RaUPoX6W99cVk3GXj-h5kXflyttQpwYk49r9cj1qHOo0iBBWrNEIY6ECwPcEgeMS3amMeKLXsAcMw6Ng'],,True
ChIJ6XOD1NCxfkcRmZlJCYnnkUY,Lafarmacia.Internazionale San Gaetano,"{'latitude': 45.4330539, 'longitude': 12.335040699999999}",1.0,2 years ago,,Dimitri Steinel,"I am extremely disappointed with my recent experience here. While the staff was helpful in recommending (or actually convincing) products for our daughter, I was shocked to discover that they charged us twice the price compared to other pharmacies.
It's disheartening that such practices are allowed, and I feel taken advantage of as a customer. I would strongly advise others to be cautious when shopping at this pharmacy to avoid overpaying for essential products.",,,True
ChIJ6XOD1NCxfkcRmZlJCYnnkUY,Lafarmacia.Internazionale San Gaetano,"{'latitude': 45.4330539, 'longitude': 12.335040699999999}",1.0,3 years ago,,Daniel Moneta,"Got there Sunday aft to find no less than three signs posted to indicate they should be open. They're not. No one answering the doorbell. With only two pharmacies open in the whole city on Sunday (so most people showing up here have an urgent need, and a bunch showed up), that's pretty unfortunate. Maybe they went for a late lunch but no way to tell.","['https://lh3.googleusercontent.com/geougc-cs/AMBA38tdJkhCyJyzuda3bp133tMhTRz_LAb_OMtlWJfwC6uMNWoId7sykPC_-iPVCEDov3KL5JM8qGxnckiScjYW1rE911Z3BxA5M9u_NjcLZYklsAeUldyeroxt9z6W1BxI2mQ7WilTFg', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38vVGENiM9B_TD4a2YEjkQZkoUdwbGY3BR-i6qfAuzlNnQf9sFCRgOSIqec0htWMBT6C32dYWbVnllvj8v3D5rvlb7Mq6qyhILR4oeqMivMITYUPA-YMXoLn175Xybc5GZmPdVr1']",,True
ChIJ6XOD1NCxfkcRmZlJCYnnkUY,Lafarmacia.Internazionale San Gaetano,"{'latitude': 45.4330539, 'longitude': 12.335040699999999}",1.0,2 years ago,,Paul Dunand,Not only they sold us a cream that doesn't work without explanation but my change should have been 12.10 and she only gave me 12 pretending she doesn't have change. Don't go there.,,,True
